Gene stable ID	Chromosome/scaffold name	Gene name
ENSG00000227008	X	RPS24P19
ENSG00000233260	X	RPSAP63
ENSG00000286096	X	GPC3-AS1
ENSG00000232068	X	
ENSG00000224908	X	TIMM8BP2
ENSG00000232664	X	LARP1BP3
ENSG00000286181	X	
ENSG00000184194	X	GPR173
ENSG00000270497	X	
ENSG00000184205	X	TSPYL2
ENSG00000126012	X	KDM5C
ENSG00000227083	X	
ENSG00000268066	X	FMR1-AS1
ENSG00000274086	X	
ENSG00000236337	X	FMR1-IT1
ENSG00000176988	X	FMR1NB
ENSG00000201285	X	RNA5SP524
ENSG00000219507	X	FTH1P8
ENSG00000157625	X	TAB3
ENSG00000266560	X	
ENSG00000124260	X	MAGEA10
ENSG00000231937	X	
ENSG00000184634	X	MED12
ENSG00000102081	X	FMR1
ENSG00000171402	X	XAGE3
ENSG00000165694	X	FRMD7
ENSG00000158301	X	GPRASP2
ENSG00000189221	X	MAOA
ENSG00000101825	X	MXRA5
ENSG00000213487	X	ASS1P4
ENSG00000228459	X	LINC01546
ENSG00000237671	X	GAGE12C
ENSG00000227488	X	GAGE12D
ENSG00000236362	X	GAGE12F
ENSG00000216649	X	GAGE12E
ENSG00000215269	X	GAGE12G
ENSG00000224902	X	GAGE12H
ENSG00000189064	X	GAGE2A
ENSG00000205777	X	GAGE1
ENSG00000215274	X	GAGE10
ENSG00000224659	X	GAGE12J
ENSG00000274274	X	GAGE13
ENSG00000102158	X	MAGT1
ENSG00000268089	X	GABRQ
ENSG00000269475	X	
ENSG00000221867	X	MAGEA3
ENSG00000183305	X	MAGEA2B
ENSG00000198930	X	CSAG1
ENSG00000213401	X	MAGEA12
ENSG00000231447	X	
ENSG00000268606	X	MAGEA2
ENSG00000268916	X	CSAG3
ENSG00000286051	X	MAGEA6-DT
ENSG00000147400	X	CETN2
ENSG00000147383	X	NSDHL
ENSG00000286939	X	
ENSG00000198883	X	PNMA5
ENSG00000234200	X	
ENSG00000130741	X	EIF2S3
ENSG00000201407	X	
ENSG00000174010	X	KLHL15
ENSG00000171100	X	MTM1
ENSG00000228728	X	PPIAP91
ENSG00000196338	X	NLGN3
ENSG00000231857	X	MORF4L1P5
ENSG00000237963	X	PRXL2CP1
ENSG00000001497	X	LAS1L
ENSG00000188158	X	NHS
ENSG00000227645	X	RPL7P54
ENSG00000147145	X	LPAR4
ENSG00000214961	X	NT5DC1P2
ENSG00000156531	X	PHF6
ENSG00000165704	X	HPRT1
ENSG00000226107	X	RPL36AP54
ENSG00000216001	X	MIR450B
ENSG00000199132	X	MIR450A1
ENSG00000207755	X	MIR450A2
ENSG00000207784	X	MIR542
ENSG00000223749	X	MIR503HG
ENSG00000208005	X	MIR503
ENSG00000284231	X	MIR424
ENSG00000227060	X	LINC00629
ENSG00000170965	X	PLAC1
ENSG00000235813	X	
ENSG00000236509	X	RPL21P133
ENSG00000237432	X	RPS7P12
ENSG00000199920	X	RNU4-44P
ENSG00000156504	X	PABIR2
ENSG00000235916	X	MRPS18CP7
ENSG00000201618	X	RNA5SP505
ENSG00000172943	X	PHF8
ENSG00000184083	X	FAM120C
ENSG00000224949	X	RPL37P24
ENSG00000234566	X	RPL7AP71
ENSG00000188937	X	NYX
ENSG00000269556	X	TMEM185A
ENSG00000134597	X	RBMX2
ENSG00000171659	X	GPR34
ENSG00000126733	X	DACH2
ENSG00000102034	X	ELF4
ENSG00000147202	X	DIAPH2
ENSG00000197565	X	COL4A6
ENSG00000123594	X	ATXN3L
ENSG00000205642	X	VCX3B
ENSG00000017483	X	SLC38A5
ENSG00000169059	X	VCX3A
ENSG00000133142	X	TCEAL4
ENSG00000185515	X	BRCC3
ENSG00000067829	X	IDH3G
ENSG00000185448	X	FAM47A
ENSG00000155008	X	APOOL
ENSG00000102024	X	PLS3
ENSG00000237331	X	XIAP-AS1
ENSG00000252627	X	RNU6-122P
ENSG00000237025	X	PARD6BP1
ENSG00000232412	X	STAG2-AS1
ENSG00000237426	X	ZIK1P1
ENSG00000252693	X	
ENSG00000234564	X	HSPA8P20
ENSG00000282419	X	TEX13D
ENSG00000232054	X	NPM1P34
ENSG00000226532	X	
ENSG00000147257	X	GPC3
ENSG00000126895	X	AVPR2
ENSG00000130032	X	PRRG3
ENSG00000183862	X	CNGA2
ENSG00000281849	X	
ENSG00000275287	X	Metazoa_SRP
ENSG00000280767	X	
ENSG00000234958	X	FABP5P13
ENSG00000229232	X	KRT18P53
ENSG00000185960	X	SHOX
ENSG00000102003	X	SYP
ENSG00000237490	X	RPS27AP17
ENSG00000228550	X	
ENSG00000101846	X	STS
ENSG00000264268	X	MIR4767
ENSG00000279682	X	
ENSG00000274923	X	
ENSG00000006757	X	PNPLA4
ENSG00000204116	X	CHIC1
ENSG00000236446	X	CT47B1
ENSG00000230707	X	HAPSTR2
ENSG00000179304	X	FAM156B
ENSG00000189186	X	DCAF8L2
ENSG00000124334	X	IL9R
ENSG00000197172	X	MAGEA6
ENSG00000165175	X	MID1IP1
ENSG00000187243	X	MAGED4B
ENSG00000241476	X	SSX2
ENSG00000182583	X	VCX
ENSG00000260802	X	SERTM2
ENSG00000130988	X	RGN
ENSG00000206685	X	RNU6-1189P
ENSG00000201659	X	RNU12-2P
ENSG00000182872	X	RBM10
ENSG00000237351	X	ITPK1P1
ENSG00000130985	X	UBA1
ENSG00000224975	X	INE1
ENSG00000147123	X	NDUFB11
ENSG00000198088	X	NUP62CL
ENSG00000213569	X	GTF3C6P2
ENSG00000199832	X	Y_RNA
ENSG00000204053	X	MYCLP1
ENSG00000215007	X	DNAJA1P3
ENSG00000080572	X	DNAAF6
ENSG00000165240	X	ATP7A
ENSG00000236187	X	GJA6P
ENSG00000102104	X	RS1
ENSG00000237221	X	PPEF1-AS1
ENSG00000196564	X	BLOC1S6P1
ENSG00000224224	X	HAUS1P2
ENSG00000237836	X	PHKA2-AS1
ENSG00000044446	X	PHKA2
ENSG00000266710	X	RN7SL48P
ENSG00000223731	X	SUPT20HL1
ENSG00000101945	X	SUV39H1
ENSG00000232828	X	
ENSG00000206723	X	RNU6-1056P
ENSG00000171433	X	GLOD5
ENSG00000207367	X	RNU6-29P
ENSG00000187682	X	ERAS
ENSG00000102109	X	PCSK1N
ENSG00000102103	X	PQBP1
ENSG00000102100	X	SLC35A2
ENSG00000068308	X	OTUD5
ENSG00000279155	X	
ENSG00000223309	X	RNU6-722P
ENSG00000102057	X	KCND1
ENSG00000275387	X	
ENSG00000221750	X	SNORA11G
ENSG00000067445	X	TRO
ENSG00000086717	X	PPEF1
ENSG00000223611	X	SUPT20HL2
ENSG00000214124	X	SNRPEP9
ENSG00000067992	X	PDK3
ENSG00000237682	X	PRKCIP1
ENSG00000126947	X	ARMCX1
ENSG00000198960	X	ARMCX6
ENSG00000102401	X	ARMCX3
ENSG00000228275	X	ARMCX3-AS1
ENSG00000261101	X	
ENSG00000207291	X	RNU6-30P
ENSG00000286000	X	
ENSG00000184867	X	ARMCX2
ENSG00000223753	X	
ENSG00000212584	X	RNU6-587P
ENSG00000169249	X	ZRSR2
ENSG00000196440	X	ARMCX4
ENSG00000215319	X	EIF5P1
ENSG00000230326	X	HMGN1P33
ENSG00000206844	X	Y_RNA
ENSG00000234469	X	CLDN34
ENSG00000225076	X	WWC3-AS1
ENSG00000184905	X	TCEAL2
ENSG00000184515	X	BEX5
ENSG00000157514	X	TSC22D3
ENSG00000170935	X	NCBP2L
ENSG00000186416	X	NKRF
ENSG00000169933	X	FRMPD4
ENSG00000198814	X	GK
ENSG00000226339	X	RPS26P56
ENSG00000201518	X	RNA5SP513
ENSG00000102038	X	SMARCA1
ENSG00000252170	X	
ENSG00000122126	X	OCRL
ENSG00000013563	X	DNASE1L1
ENSG00000125962	X	ARMCX5
ENSG00000089682	X	RBM41
ENSG00000160219	X	GAB3
ENSG00000206948	X	SNORA36A
ENSG00000284450	X	MIR664B
ENSG00000206693	X	SNORA56
ENSG00000203870	X	SMIM9
ENSG00000221533	X	MIR1184-1
ENSG00000102362	X	SYTL4
ENSG00000227864	X	ARL5AP1
ENSG00000250423	X	KIAA1210
ENSG00000204382	X	XAGE1B
ENSG00000224440	X	CXorf51A
ENSG00000089472	X	HEPH
ENSG00000171489	X	SPACA5
ENSG00000166432	X	ZMAT1
ENSG00000273696	X	CT45A7
ENSG00000196976	X	LAGE3
ENSG00000165675	X	ENOX2
ENSG00000147059	X	SPIN2A
ENSG00000158352	X	SHROOM4
ENSG00000182518	X	FAM104B
ENSG00000206663	X	Y_RNA
ENSG00000184368	X	MAP7D2
ENSG00000264566	X	MIR23C
ENSG00000173674	X	EIF1AX
ENSG00000201882	X	
ENSG00000201592	X	
ENSG00000225037	X	EIF1AX-AS1
ENSG00000177189	X	RPS6KA3
ENSG00000173681	X	BCLAF3
ENSG00000206900	X	RNU6-98P
ENSG00000235849	X	HS6ST2-AS1
ENSG00000227064	X	NAA20P1
ENSG00000134588	X	USP26
ENSG00000289365	X	
ENSG00000289570	X	
ENSG00000288739	X	
ENSG00000287918	X	
ENSG00000235385	X	LINC02154
ENSG00000289127	X	
ENSG00000130119	X	GNL3L
ENSG00000231728	X	TMSB15B-AS1
ENSG00000235703	X	EOLA2-DT
ENSG00000224610	X	
ENSG00000229335	X	DANT1
ENSG00000289479	X	
ENSG00000289575	X	
ENSG00000288783	X	
ENSG00000226310	X	
ENSG00000287776	X	
ENSG00000288832	X	
ENSG00000288980	X	
ENSG00000171004	X	HS6ST2
ENSG00000168939	X	SPRY3
ENSG00000249467	X	H2AL1Q
ENSG00000203952	X	CCDC160
ENSG00000203588	X	IGBP1-AS1
ENSG00000184210	X	DGAT2L6
ENSG00000242657	X	RN7SL581P
ENSG00000204195	X	AWAT1
ENSG00000200473	X	RNA5SP507
ENSG00000186912	X	P2RY4
ENSG00000120500	X	ARR3
ENSG00000147127	X	RAB41
ENSG00000090889	X	KIF4A
ENSG00000231053	X	TRAPPC2LP1
ENSG00000201377	X	RNY4P23
ENSG00000130055	X	GDPD2
ENSG00000284391	X	
ENSG00000200431	X	RNU4-81P
ENSG00000231651	X	DLG3-AS1
ENSG00000120509	X	PDZD11
ENSG00000010671	X	BTK
ENSG00000252320	X	RNU6-320P
ENSG00000102245	X	CD40LG
ENSG00000129675	X	ARHGEF6
ENSG00000212510	X	RNU6-972P
ENSG00000202279	X	Y_RNA
ENSG00000206979	X	SNORD61
ENSG00000072315	X	TRPC5
ENSG00000187823	X	RTL4
ENSG00000271464	X	DPRXP7
ENSG00000271400	X	CCDC121P1
ENSG00000200436	X	Y_RNA
ENSG00000213489	X	FBLIM1P1
ENSG00000282815	X	TEX13C
ENSG00000289449	X	
ENSG00000126768	X	TIMM17B
ENSG00000165168	X	CYBB
ENSG00000265658	X	MIR3690
ENSG00000223274	X	RNA5SP498
ENSG00000198223	X	CSF2RA
ENSG00000130150	X	MOSPD2
ENSG00000235929	X	TPT1P14
ENSG00000181544	X	FANCB
ENSG00000231066	X	NPM1P9
ENSG00000225814	X	GRPEL2P2
ENSG00000236982	X	BLOC1S2P1
ENSG00000102053	X	ZC3H12B
ENSG00000237971	X	
ENSG00000225569	X	CCT4P2
ENSG00000231809	X	NANOGP9
ENSG00000243978	X	RTL9
ENSG00000204620	X	
ENSG00000102317	X	RBM3
ENSG00000228343	X	
ENSG00000279528	X	
ENSG00000220125	X	MRPL32P1
ENSG00000101940	X	WDR13
ENSG00000231725	X	VN1R110P
ENSG00000286475	X	
ENSG00000275314	X	
ENSG00000235510	X	
ENSG00000223723	X	TFDP1P2
ENSG00000289708	X	
ENSG00000198173	X	FAM47C
ENSG00000243048	X	FTHL18P
ENSG00000214071	X	
ENSG00000230170	X	HNRNPA1P28
ENSG00000270625	X	NUDT19P6
ENSG00000101856	X	PGRMC1
ENSG00000214992	X	AKAP17BP
ENSG00000230392	X	LINC03098
ENSG00000226661	X	
ENSG00000227814	X	MRPS17P9
ENSG00000077713	X	SLC25A43
ENSG00000237903	X	
ENSG00000207175	X	RNU1-67P
ENSG00000266420	X	RN7SL118P
ENSG00000252147	X	RNY3P16
ENSG00000005022	X	SLC25A5
ENSG00000077721	X	UBE2A
ENSG00000018610	X	STEEP1
ENSG00000286794	X	
ENSG00000284800	X	
ENSG00000131828	X	PDHA1
ENSG00000180815	X	MAP3K15
ENSG00000202144	X	Y_RNA
ENSG00000275800	X	EIF5P2
ENSG00000269335	X	IKBKG
ENSG00000160211	X	G6PD
ENSG00000165349	X	SLC7A3
ENSG00000230629	X	RPS23P8
ENSG00000147168	X	IL2RG
ENSG00000125351	X	UPF3B
ENSG00000290162	X	
ENSG00000290163	X	
ENSG00000290164	X	
ENSG00000290165	X	
ENSG00000147065	X	MSN
ENSG00000101935	X	AMMECR1
ENSG00000133136	X	GNG5B
ENSG00000130826	X	DKC1
ENSG00000198681	X	MAGEA1
ENSG00000235219	X	
ENSG00000273877	X	
ENSG00000231600	X	
ENSG00000278803	X	PWWP4
ENSG00000102225	X	CDK16
ENSG00000102226	X	USP11
ENSG00000071889	X	FAM3A
ENSG00000203879	X	GDI1
ENSG00000102312	X	PORCN
ENSG00000277535	X	CT47C1
ENSG00000183918	X	SH2D1A
ENSG00000230502	X	
ENSG00000271686	X	TNPO3P1
ENSG00000226547	X	SSU72P1
ENSG00000147246	X	HTR2C
ENSG00000224664	X	RPL36AP53
ENSG00000289287	X	
ENSG00000208839	X	SNORA35
ENSG00000212100	X	MIR764
ENSG00000222321	X	MIR1912
ENSG00000276158	X	MIR1264
ENSG00000221710	X	MIR1298
ENSG00000222715	X	MIR1911
ENSG00000224773	X	HSPA8P7
ENSG00000199001	X	MIR448
ENSG00000270413	X	
ENSG00000236880	X	RPS26P57
ENSG00000264933	X	RN7SL190P
ENSG00000199705	X	Y_RNA
ENSG00000232599	X	
ENSG00000101916	X	TLR8
ENSG00000288817	X	
ENSG00000205542	X	TMSB4X
ENSG00000187268	X	FAM9C
ENSG00000225470	X	JPX
ENSG00000230376	X	MEMO1P4
ENSG00000252178	X	RNU7-69P
ENSG00000226902	X	CHCHD2P1
ENSG00000101966	X	XIAP
ENSG00000203930	X	LINC00632
ENSG00000288642	X	CDR1
ENSG00000147044	X	CASK
ENSG00000076770	X	MBNL3
ENSG00000015285	X	WAS
ENSG00000279587	X	
ENSG00000200291	X	Y_RNA
ENSG00000237458	X	TUBB4BP3
ENSG00000234524	X	RPL12P43
ENSG00000224539	X	SAGE4P
ENSG00000277486	X	SAGE3P
ENSG00000198022	X	SAGE2P
ENSG00000274601	X	
ENSG00000268940	X	CT45A1
ENSG00000233861	X	MGAT2P1
ENSG00000228836	X	CT45A5
ENSG00000130234	X	ACE2
ENSG00000068354	X	TBC1D25
ENSG00000288908	X	
ENSG00000068323	X	TFE3
ENSG00000094631	X	HDAC6
ENSG00000158571	X	PFKFB1
ENSG00000233071	X	RPSAP59
ENSG00000102409	X	BEX4
ENSG00000047644	X	WWC3
ENSG00000232593	X	KANTR
ENSG00000268235	X	TCP11X1
ENSG00000215029	X	TCP11X2
ENSG00000003096	X	KLHL13
ENSG00000225366	X	TDGF1P3
ENSG00000102145	X	GATA1
ENSG00000236189	X	RPL18AP15
ENSG00000201420	X	RNA5SP512
ENSG00000229487	X	ALG13-AS1
ENSG00000204025	X	TRPC5OS
ENSG00000271421	X	
ENSG00000147162	X	OGT
ENSG00000072133	X	RPS6KA6
ENSG00000221494	X	MIR548I4
ENSG00000233484	X	
ENSG00000147010	X	SH3KBP1
ENSG00000101977	X	MCF2
ENSG00000189326	X	SPANXN4
ENSG00000189023	X	MAGEB16
ENSG00000174016	X	TENT5D
ENSG00000269433	X	OPN1MW3
ENSG00000229674	X	H2AL3
ENSG00000232030	X	MAGEB6B
ENSG00000198021	X	SPANXA1
ENSG00000269437	X	NXF2B
ENSG00000268902	X	CSAG2
ENSG00000178605	X	GTPBP6
ENSG00000278057	X	TEX28
ENSG00000268988	X	SPANXN2
ENSG00000287585	X	
ENSG00000269226	X	TMSB15C
ENSG00000269313	X	MAGIX
ENSG00000184216	X	IRAK1
ENSG00000169297	X	NR0B1
ENSG00000238709	X	RNU7-56P
ENSG00000086712	X	TXLNG
ENSG00000230180	X	RPL12P49
ENSG00000102054	X	RBBP7
ENSG00000222736	X	RNU4-6P
ENSG00000223498	X	SLC35C2P1
ENSG00000199410	X	Y_RNA
ENSG00000169891	X	REPS2
ENSG00000201467	X	
ENSG00000214322	X	CBX1P2
ENSG00000289472	X	
ENSG00000156500	X	PABIR3
ENSG00000101928	X	MOSPD1
ENSG00000207081	X	RNU6-616P
ENSG00000236091	X	LINC02243
ENSG00000231929	X	HMGB3P31
ENSG00000184785	X	SMIM10
ENSG00000180964	X	TCEAL8
ENSG00000224692	X	
ENSG00000204065	X	TCEAL5
ENSG00000133134	X	BEX2
ENSG00000289596	X	
ENSG00000261030	X	
ENSG00000287700	X	
ENSG00000289122	X	
ENSG00000089820	X	ARHGAP4
ENSG00000102030	X	NAA10
ENSG00000226679	X	
ENSG00000252050	X	
ENSG00000156313	X	RPGR
ENSG00000169057	X	MECP2
ENSG00000288759	X	
ENSG00000224765	X	LINC02931
ENSG00000289620	X	
ENSG00000228427	X	
ENSG00000213468	X	FIRRE
ENSG00000224281	X	SLC25A5-AS1
ENSG00000289864	X	
ENSG00000229151	X	
ENSG00000289068	X	
ENSG00000289007	X	
ENSG00000234129	X	HCCS-DT
ENSG00000270069	X	MIR222HG
ENSG00000289870	X	
ENSG00000236064	X	
ENSG00000284377	X	
ENSG00000226530	X	
ENSG00000235244	X	DANT2
ENSG00000227486	X	
ENSG00000289591	X	
ENSG00000233928	X	
ENSG00000231566	X	LINC02595
ENSG00000289923	X	
ENSG00000289038	X	
ENSG00000286650	X	
ENSG00000235437	X	LINC01278
ENSG00000288595	X	
ENSG00000288856	X	
ENSG00000274536	X	MIR223HG
ENSG00000236751	X	LINC01186
ENSG00000289959	X	
ENSG00000233093	X	LINC00892
ENSG00000281566	X	LINC03077
ENSG00000289132	X	
ENSG00000169446	X	MMGT1
ENSG00000126970	X	ZC4H2
ENSG00000289215	X	
ENSG00000198947	X	DMD
ENSG00000049768	X	FOXP3
ENSG00000290184	X	
ENSG00000102144	X	PGK1
ENSG00000282933	X	RHOXF1P3
ENSG00000282850	X	RHOXF1P2
ENSG00000258545	X	RHOXF1-AS1
ENSG00000203989	X	RHOXF2B
ENSG00000101883	X	RHOXF1
ENSG00000131721	X	RHOXF2
ENSG00000227541	X	SFR1P1
ENSG00000237757	X	EEF1A1P30
ENSG00000177485	X	ZBTB33
ENSG00000125355	X	TMEM255A
ENSG00000232042	X	
ENSG00000201392	X	RNU6-1078P
ENSG00000196933	X	RPS26P11
ENSG00000225471	X	TPT1P15
ENSG00000102309	X	PIN4
ENSG00000239577	X	RN7SL388P
ENSG00000186871	X	ERCC6L
ENSG00000198034	X	RPS4X
ENSG00000238926	X	Y_RNA
ENSG00000125931	X	CITED1
ENSG00000086758	X	HUWE1
ENSG00000063601	X	MTMR1
ENSG00000230153	X	LINC02927
ENSG00000222796	X	RNU6-383P
ENSG00000029993	X	HMGB3
ENSG00000230508	X	RPL19P21
ENSG00000124486	X	USP9X
ENSG00000068400	X	GRIPAP1
ENSG00000289245	X	
ENSG00000196998	X	WDR45
ENSG00000169164	X	
ENSG00000290520	X	
ENSG00000187893	X	CXXC1P1
ENSG00000230578	X	TMLHEP1
ENSG00000290643	X	
ENSG00000157965	X	SSX8P
ENSG00000204648	X	SSX9P
ENSG00000226870	X	
ENSG00000234442	X	
ENSG00000171483	X	SSX6P
ENSG00000274775	X	FSIP2LP
ENSG00000290740	X	
ENSG00000251525	X	TCP11X3P
ENSG00000186312	X	CA5BP1
ENSG00000232765	X	
ENSG00000290748	X	
ENSG00000126952	X	NXF5
ENSG00000290798	X	NXF5
ENSG00000229015	X	
ENSG00000290806	X	
ENSG00000196970	X	NXF4
ENSG00000242599	X	CSAG4
ENSG00000242520	X	MAGEA5P
ENSG00000204072	X	ARMCX7P
ENSG00000290908	X	
ENSG00000231069	X	
ENSG00000290955	X	
ENSG00000237265	X	
ENSG00000223773	X	CD99P1
ENSG00000234062	X	TM9SF5P
ENSG00000291054	X	
ENSG00000234493	X	RHOXF1P1
ENSG00000291200	X	RHOXF1P1
ENSG00000214897	X	PNMA6E
ENSG00000067842	X	ATP2B3
ENSG00000290743	X	
ENSG00000230187	X	
ENSG00000277492	X	
ENSG00000280704	X	SNORD3E
ENSG00000213747	X	WASHC3P1
ENSG00000082458	X	DLG3
ENSG00000287757	X	
ENSG00000291285	X	
ENSG00000290734	X	
ENSG00000290708	X	SSX9P
ENSG00000101811	X	CSTF2
ENSG00000007952	X	NOX1
ENSG00000239345	X	HNRNPA1P26
ENSG00000233680	X	HNRNPA1P27
ENSG00000179031	X	NSA2P3
ENSG00000182489	X	XKRX
ENSG00000182492	X	BGN
ENSG00000183981	X	MAGEA13P
ENSG00000214930	X	KRT8P6
ENSG00000285989	X	H2AQ1P
ENSG00000129682	X	FGF13
ENSG00000232183	X	
ENSG00000207800	X	MIR504
ENSG00000226031	X	FGF13-AS1
ENSG00000235975	X	TPM2P1
ENSG00000101958	X	GLRA2
ENSG00000005893	X	LAMP2
ENSG00000242732	X	RTL5
ENSG00000046653	X	GPM6B
ENSG00000243279	X	PRAF2
ENSG00000174460	X	ZCCHC12
ENSG00000102172	X	SMS
ENSG00000077279	X	DCX
ENSG00000215301	X	DDX3X
ENSG00000207486	X	RNU6-1044P
ENSG00000131264	X	CDX4
ENSG00000233162	X	MORF4L1P6
ENSG00000237475	X	RPL7P53
ENSG00000230590	X	FTX
ENSG00000231549	X	ATP5MKP1
ENSG00000204113	X	BMP2KL
ENSG00000228492	X	RAB11FIP1P1
ENSG00000271533	X	
ENSG00000202566	X	MIR421
ENSG00000212027	X	MIR374B
ENSG00000283534	X	MIR374C
ENSG00000265727	X	RN7SL648P
ENSG00000278421	X	
ENSG00000273974	X	
ENSG00000275254	X	
ENSG00000275625	X	
ENSG00000207820	X	MIR545
ENSG00000199168	X	MIR374A
ENSG00000277922	X	
ENSG00000187969	X	ZCCHC13
ENSG00000226515	X	
ENSG00000213269	X	RPS6P26
ENSG00000270641	X	TSIX
ENSG00000229807	X	XIST
ENSG00000291306	X	
ENSG00000291017	X	
ENSG00000290713	X	
ENSG00000290714	X	
ENSG00000283178	X	
ENSG00000291310	X	
ENSG00000101812	X	H2BW2
ENSG00000235946	X	H2BW3P
ENSG00000131724	X	IL13RA1
ENSG00000239182	X	
ENSG00000250995	X	TMEM30BP1
ENSG00000101974	X	ATP11C
ENSG00000291314	X	
ENSG00000124313	X	IQSEC2
ENSG00000077264	X	PAK3
ENSG00000147394	X	ZNF185
ENSG00000289890	X	
ENSG00000290641	X	CXXC1P1
ENSG00000280195	X	
ENSG00000102125	X	TAFAZZIN
ENSG00000197180	X	ATP6AP1-DT
ENSG00000101871	X	MID1
ENSG00000176896	X	TCEANC
ENSG00000101901	X	ALG13
ENSG00000007350	X	TKTL1
ENSG00000204131	X	NHSL2
ENSG00000222810	X	RNU2-68P
ENSG00000277569	X	MIR6134
ENSG00000223742	X	
ENSG00000169306	X	IL1RAPL1
ENSG00000226436	X	H3P43
ENSG00000201666	X	
ENSG00000237994	X	
ENSG00000201356	X	RNA5SP500
ENSG00000227393	X	
ENSG00000264090	X	MIR4666B
ENSG00000227592	X	PIGFP3
ENSG00000165194	X	PCDH19
ENSG00000000003	X	TSPAN6
ENSG00000290811	X	NXF4
ENSG00000270050	X	
ENSG00000223546	X	LINC00630
ENSG00000239407	X	
ENSG00000102128	X	RAB40AL
ENSG00000234050	X	
ENSG00000286846	X	
ENSG00000224632	X	NUDT19P2
ENSG00000133169	X	BEX1
ENSG00000147206	X	NXF3
ENSG00000226241	X	
ENSG00000182916	X	TCEAL7
ENSG00000238049	X	
ENSG00000185222	X	TCEAL9
ENSG00000166681	X	BEX3
ENSG00000281091	X	
ENSG00000234405	X	
ENSG00000172476	X	RAB40A
ENSG00000287619	X	
ENSG00000189108	X	IL1RAPL2
ENSG00000232665	X	PHB1P10
ENSG00000223733	X	RPL18AP14
ENSG00000268629	X	TEX13A
ENSG00000181819	X	KCTD9P2
ENSG00000206864	X	RNU6-207P
ENSG00000123572	X	NRK
ENSG00000123561	X	SERPINA7
ENSG00000291040	X	CD99P1
ENSG00000056998	X	GYG2
ENSG00000276380	X	UBE2NL
ENSG00000102096	X	PIM2
ENSG00000270813	X	NANOGNBP3
ENSG00000183911	X	RPL21P132
ENSG00000234557	X	PPIAP90
ENSG00000102393	X	GLA
ENSG00000204071	X	TCEAL6
ENSG00000279245	X	FAM223A
ENSG00000272681	X	FAM223B
ENSG00000126756	X	UXT
ENSG00000147144	X	CCDC120
ENSG00000200572	X	Y_RNA
ENSG00000284499	X	MIR363
ENSG00000284538	X	MIR92A2
ENSG00000284107	X	MIR19B2
ENSG00000284043	X	MIR20B
ENSG00000283931	X	MIR18B
ENSG00000284157	X	MIR106A
ENSG00000205755	X	CRLF2
ENSG00000290746	X	CA5BP1
ENSG00000169239	X	CA5B
ENSG00000289237	X	
ENSG00000290686	X	
ENSG00000171405	X	XAGE5
ENSG00000237833	X	ETS2P1
ENSG00000181433	X	SAGE1
ENSG00000102181	X	CD99L2
ENSG00000270916	X	RPL12P50
ENSG00000212595	X	RNA5SP525
ENSG00000290892	X	
ENSG00000011677	X	GABRA3
ENSG00000252205	X	RNU6-764P
ENSG00000207957	X	MIR105-1
ENSG00000211583	X	MIR767
ENSG00000207818	X	MIR105-2
ENSG00000223940	X	KRT8P8
ENSG00000287394	X	MAGEA3-DT
ENSG00000290868	X	CSAG4
ENSG00000283638	X	
ENSG00000169083	X	AR
ENSG00000147050	X	KDM6A
ENSG00000101972	X	STAG2
ENSG00000204118	X	NAP1L6P
ENSG00000293034	X	NAP1L6P
ENSG00000243468	X	INGX
ENSG00000260081	X	MRFAP1P1
ENSG00000293160	X	
ENSG00000221930	X	DENND10P1
ENSG00000293183	X	
ENSG00000259849	X	VENTXP1
ENSG00000293226	X	VENTXP1
ENSG00000248503	X	C4orf46P2
ENSG00000293258	X	
ENSG00000233585	X	ACAA2P1
ENSG00000293263	X	
ENSG00000229547	X	
ENSG00000293307	X	UBE2DNL
ENSG00000233382	X	NKAPP1
ENSG00000293328	X	NKAPP1
ENSG00000269904	X	MAP2K4P1
ENSG00000293351	X	MAP2K4P1
ENSG00000283349	X	PFN5P
ENSG00000293387	X	
ENSG00000242186	X	
ENSG00000293395	X	
ENSG00000224963	X	ECMXP
ENSG00000293443	X	
ENSG00000188828	X	GLRA4
ENSG00000293448	X	
ENSG00000278530	X	CHMP1B2P
ENSG00000293469	X	CHMP1B2P
ENSG00000196632	X	WNK3
ENSG00000207104	X	RNU6-434P
ENSG00000158526	X	TSR2
ENSG00000102302	X	FGD1
ENSG00000293133	X	INGX
ENSG00000283599	X	
ENSG00000009694	X	TENM1
ENSG00000288661	X	
